,feature,correlation,mutual_info
552,5-Year_change_1d,0.011115501041365975,0.02945759851630747
835,2s10s Spread_rsi_5d,-0.07123417762591322,0.02793322732513026
1009,2s5s Spread_dist_ma_21d,-0.04196918628030424,0.027012972037582017
712,10-Year_momentum_252d,-0.01467070997716614,0.026961504160189165
839,2s10s Spread_dist_ma_10d,-0.07658086944902166,0.026494020977276378
285,3-Month_dist_ma_1d,,0.026334995440259412
301,3-Month_zscore_10d,-0.020948018908701353,0.026163426054349515
569,5-Year_dist_ma_10d,0.0024840797292132208,0.02490324004107336
635,7-Year_rsi_21d,-0.0037014939006129767,0.024850037927194535
236,macro_10Y-2Y Treasury Spread_pct_change,0.007279387720252404,0.024417579503246856
986,2s5s Spread_ma_1d,-0.010509958709453555,0.023548585939477285
436,1-Year_change_252d,-0.015637402122420496,0.02312723184552823
826,2s10s Spread_momentum_1d,-0.05012231051677821,0.022856544116629962
407,1-Year_dist_ma_10d,0.013081818834389804,0.022691402752683665
108,macro_Initial Jobless Claims_zscore,0.006577437460317749,0.022280860286373105
997,2s5s Spread_rsi_5d,-0.05207308906276983,0.022198608159080813
474,2-Year_change_63d,-0.012108325647980374,0.021398483869461415
906,5s30s Spread_change_63d,-0.0018356882738999746,0.02119437920296363
636,7-Year_change_63d,-0.007404143743292338,0.02095458092514857
669,10-Year_dist_ma_5d,-0.009886524741648004,0.020597608428156278
1068,10s30s Spread_change_63d,-0.003717931895544218,0.020423682266739185
7,is_quarter_end,-0.02598623915955018,0.020377675856912525
453,2-Year_dist_ma_5d,0.04765438711591742,0.02033963730626187
329,3-Month_pct_change_252d,-0.019806839241766842,0.020101073036582484
881,5s30s Spread_rsi_1d,-0.008999132168564065,0.019332699589912572
462,2-Year_vol_10d,-0.0069327688884504995,0.019262289460044713
94,macro_CMBS Spread_level,0.013882664465180671,0.01912205442680559
402,1-Year_momentum_5d,0.02358170950746853,0.01907552553636105
987,2s5s Spread_dist_ma_1d,,0.01890333666001709
210,macro_Oil VIX_zscore,-0.00882834012472891,0.01864258160856025
1087,10s30s Spread_dist_ma_252d,-0.0031142306688592,0.01842791350971229
558,5-Year_change_5d,0.010156768089270459,0.018153659817528478
533,3-Year_zscore_63d,-0.008570405813787626,0.018088672983468612
953,3m10y Spread_pct_change_21d,-0.002011064482377442,0.017911994349972815
726,20-Year_momentum_5d,-0.032699593534192016,0.01735069527811728
84,macro_BBB Corporate Spread_zscore,-0.003424716655730143,0.01700806065962457
788,30-Year_momentum_10d,-0.039712551528234205,0.01699154541027159
502,3-Year_momentum_1d,0.01698528248630629,0.016775247430284246
442,1-Year_momentum_252d,-0.015637402122420496,0.01651301364399771
293,3-Month_zscore_5d,-0.0189535078129957,0.016473432238588437
828,2s10s Spread_change_5d,-0.08353909126938237,0.016339187068586725
13,macro_Federal Funds Rate_pct_change,-0.020200655782054138,0.016262020105724417
782,30-Year_change_10d,-0.039712551528234205,0.016099132535843275
639,7-Year_dist_ma_63d,-0.010506611455877488,0.015884274979589108
1080,10s30s Spread_vol_126d,0.0201461502339776,0.015826597734341696
793,30-Year_dist_ma_21d,-0.03286572847163542,0.015640843898787615
883,5s30s Spread_pct_change_5d,-0.07332434397418712,0.015635859450343403
68,macro_PPI Finished Goods_pct_change,0.02567134707525644,0.015412853188415454
8,is_year_end,-0.035056125276682726,0.015367195293262803
455,2-Year_zscore_5d,0.041544481174736005,0.015323294176258884
748,20-Year_vol_63d,0.04374620881642335,0.015277160519397981
1006,2s5s Spread_change_21d,-0.013772513274189123,0.015144681295992335
834,2s10s Spread_momentum_5d,-0.08353909126938237,0.01502518728899016
19,macro_Reverse Repo Rate_level,0.0021562213546268898,0.015003594366260309
410,1-Year_momentum_10d,-0.0031006014078906723,0.014916186699278633
659,7-Year_rsi_252d,-0.017467843864150998,0.014860822803152374
1114,10s30s_carry,0.008593266972353238,0.014850003852560967
664,10-Year_momentum_1d,-0.007118842143349301,0.014821828517531443
1047,10s30s Spread_dist_ma_5d,-0.038095384087689435,0.014807842155482476
122,macro_Housing Starts_level,-0.0020540515807778255,0.014794730230976327
1062,10s30s Spread_ma_21d,0.01546698165272056,0.01461187841593059
736,20-Year_change_21d,-0.005582173027561827,0.014538037133237758
721,20-Year_pct_change_5d,-0.038062203188153156,0.01447959108511121
1104,5s30s_carry,0.0025387206506033923,0.014228047387458531
491,2-Year_pct_change_252d,-0.02164325756693377,0.014223906257218921
1081,10s30s Spread_zscore_126d,-0.006690668053867124,0.013957666741001518
178,macro_Total Bank Credit_pct_change,0.001484784123304435,0.013949355781294415
687,10-Year_zscore_21d,-0.014428727002837809,0.013771137748983975
822,2s10s Spread_change_1d,-0.05012231051677821,0.013754946432925408
424,1-Year_vol_63d,-0.018528478112001166,0.013608129542663328
910,5s30s Spread_vol_63d,0.04375864042175596,0.01342807647210531
515,3-Year_dist_ma_10d,0.007945071021736397,0.01342763835378058
775,30-Year_pct_change_5d,-0.03869593874148784,0.013411654047611243
276,macro_Nondurable Materials Production_zscore,0.03570325352578624,0.013297931144180986
204,macro_Gold VIX_level,0.03516264699742111,0.013265779408132339
865,2s10s Spread_zscore_126d,-0.010891898766591404,0.013229249447743285
10,is_day_before_holiday,-0.085196361248682,0.013180793033689575
439,1-Year_dist_ma_252d,-0.011641676768822414,0.013123323209985216
842,2s10s Spread_momentum_10d,-0.06668120284923822,0.013099199319076327
194,macro_USD/EUR Exchange Rate_zscore,0.014005828762840164,0.013070861252590937
369,6-Month_dist_ma_63d,-0.02078591645770371,0.013062051396473429
620,7-Year_change_10d,-0.015534704507977408,0.012764831205131166
357,6-Month_rsi_10d,-0.013646584433541593,0.01268959093126032
152,macro_Retail Inventories_zscore,0.01185277887521104,0.012460248931257745
893,5s30s Spread_dist_ma_10d,-0.06975046560040576,0.012350156781397281
466,2-Year_change_21d,0.005745775602426535,0.01231567653413368
46,macro_Core PCE Price Index_dist_mean,0.00426929377571023,0.012310225773276784
426,1-Year_momentum_63d,-0.007024016990205696,0.01230073257952391
15,macro_Federal Funds Rate_dist_mean,-0.003734478229159563,0.012237382126548013
1019,2s5s Spread_zscore_63d,-0.02891365942518078,0.012163398087956523
1042,10s30s Spread_momentum_1d,-0.007165289652208582,0.012037208160260882
431,1-Year_dist_ma_126d,-0.008775855559275689,0.011919825700895004
499,3-Year_pct_change_1d,0.011922032743066817,0.011873103357679327
530,3-Year_ma_63d,-0.027888284062946106,0.011766410059952825
680,10-Year_momentum_10d,-0.026596112612338095,0.01176220756135482
815,30-Year_pct_change_252d,-0.012871229379639871,0.011755345940452244
458,2-Year_change_10d,0.017200549210844275,0.011713578068150099
206,macro_Gold VIX_zscore,0.006616033104480003,0.011695188119118072
318,3-Month_momentum_63d,-0.017702232607761017,0.011580746871890035
902,5s30s Spread_vol_21d,0.03919001040311583,0.011541232597319429
64,macro_PPI Final Demand_pct_change,0.03781932276954478,0.011484748334784634
955,3m10y Spread_dist_ma_21d,-0.017513513709635276,0.011471983613587255
9,is_holiday,0.005217345712140536,0.011245370992246428
1003,2s5s Spread_zscore_10d,-0.05097350643405311,0.011233978417059198
38,macro_Core CPI_dist_mean,-0.0010467401994848171,0.011232843074806986
666,10-Year_change_5d,-0.018043707635745407,0.011100189756940715
671,10-Year_zscore_5d,-0.012065421190414758,0.011088129543573189
24,macro_Fed Balance Sheet_pct_change,-0.0012417303526248973,0.011070266086523617
163,macro_M2 Money Supply_pct_change,-0.017041224858882223,0.011066279675082669
780,30-Year_momentum_5d,-0.035708447618287224,0.011020283517606089
418,1-Year_momentum_21d,-0.00952384967551575,0.011007061544489716
1093,yield_pc2_slope,-0.008839223979991482,0.010989662402644207
156,macro_Wholesale Inventories_zscore,0.002680698248691452,0.010857591297655844
475,2-Year_pct_change_63d,-0.01855390713412484,0.010782114929493325
603,5-Year_zscore_252d,-0.015758091315329844,0.010730610763888926
1115,10s30s_carry_return_5d,0.011908280159351742,0.010675497834594871
508,3-Year_vol_5d,-0.0046735694617140965,0.010530252635906123
118,macro_Consumer Sentiment_level,-0.023058293200217045,0.010472684325397275
577,5-Year_dist_ma_21d,-0.002058519923836598,0.010434168414571232
982,3m10y Spread_momentum_252d,-0.0004966538484949845,0.010381900879618655
831,2s10s Spread_dist_ma_5d,-0.07244030315477518,0.010370533091882628
918,5s30s Spread_vol_126d,0.036882476990851544,0.010368898277413052
724,20-Year_vol_5d,0.042238162948485584,0.010320897498620418
294,3-Month_momentum_5d,-0.014228103577280394,0.010304605784917875
331,3-Month_dist_ma_252d,-0.013634944431963489,0.010206789547525297
97,macro_CMBS Spread_dist_mean,0.00151125242668848,0.010139533910611398
1108,2s5s_level,-0.010450526508350974,0.010132533921554554
249,macro_Leading Index_dist_mean,-0.0062666272911309625,0.010130009574518262
979,3m10y Spread_dist_ma_252d,0.007401820420165918,0.01011642654038436
998,2s5s Spread_change_10d,-0.0482381260791077,0.010038933917650539
707,10-Year_pct_change_252d,-0.014099159029339836,0.009891608667025764
524,3-Year_vol_21d,-0.006011729386423708,0.009880465368939717
315,3-Month_dist_ma_63d,-0.01961003331481548,0.009854381071027873
947,3m10y Spread_dist_ma_10d,-0.023664248402175157,0.009789150638871646
612,7-Year_change_5d,-0.0022746746407309487,0.009788124294861866
34,macro_CPI All Items_dist_mean,0.004931586599652952,0.00962374180623815
166,macro_M1 Money Supply_level,0.004672958258946321,0.009601836719739687
777,30-Year_dist_ma_5d,-0.021914227308910038,0.0095847171254837
907,5s30s Spread_pct_change_63d,-0.0011454142440350573,0.009576226815186217
323,3-Month_dist_ma_126d,-0.01802367072850206,0.009486166446723843
1079,10s30s Spread_dist_ma_126d,-0.006691334310072693,0.009482337739640023
672,10-Year_momentum_5d,-0.018043707635745407,0.009480636774914508
1073,10s30s Spread_zscore_63d,-0.014867624002744717,0.009440398274802142
25,macro_Fed Balance Sheet_zscore,0.0009926933693146921,0.009398110329873255
1116,10s30s_carry_return_21d,0.015459212894737537,0.009370673277783403
695,10-Year_zscore_63d,-0.013143420021640177,0.009312794611952668
495,2-Year_zscore_252d,-0.016955872336825606,0.009308184950612919
637,7-Year_pct_change_63d,-0.006043932883908214,0.0093068828601659
224,macro_Emerging Markets VIX_pct_change,0.01187061043220665,0.009256080714560966
14,macro_Federal Funds Rate_zscore,-0.004729834288857679,0.009218308934918262
1001,2s5s Spread_dist_ma_10d,-0.05217619145591848,0.009218198612610529
314,3-Month_ma_63d,-0.009621093671564275,0.009207268464222373
109,macro_Initial Jobless Claims_dist_mean,0.007227500147988248,0.009163634777815233
478,2-Year_vol_63d,-0.01456616044864032,0.009104921182514047
1058,10s30s Spread_momentum_10d,-0.02295485529350805,0.009096778958261886
452,2-Year_ma_5d,-0.028399959528783436,0.009083660485709188
1105,5s30s_carry_return_5d,0.006220405491962008,0.009024033815586918
