,feature,importance,mutual_info
10,is_day_before_holiday,0.003283100066402101,0.005674134819459331
832,2s10s Spread_vol_5d,0.002599217707981991,0.0022196334799891027
833,2s10s Spread_zscore_5d,0.0023934769207585,0.004324881867317387
895,5s30s Spread_zscore_10d,0.002370177253289867,0.0
0,day_of_week,0.0023690906220961276,0.0
499,3-Year_pct_change_1d,0.0023604533547880416,0.010037049053625235
985,2s5s Spread_pct_change_1d,0.0023426472925599487,0.0
769,30-Year_pct_change_1d,0.002296541380377168,0.00026738291786077006
1011,2s5s Spread_zscore_21d,0.002285269568111231,0.0
839,2s10s Spread_dist_ma_10d,0.0022528499003290777,0.018491322578009894
715,20-Year_pct_change_1d,0.002231217622251218,0.007001425477523915
823,2s10s Spread_pct_change_1d,0.0022043697359652513,0.0
1003,2s5s Spread_zscore_10d,0.0021973862540583173,0.00755316531993433
841,2s10s Spread_zscore_10d,0.002183559318666663,0.0
293,3-Month_zscore_5d,0.0021525794893388697,0.0
1049,10s30s Spread_zscore_5d,0.0021452838845979045,0.0048973623332055904
887,5s30s Spread_zscore_5d,0.0021029540614639006,0.0045914552104182604
894,5s30s Spread_vol_10d,0.0021029354831871338,0.0
445,2-Year_pct_change_1d,0.0020804114559561477,0.003963697804145516
883,5s30s Spread_pct_change_5d,0.0020730875210435767,0.013463279131092909
517,3-Year_zscore_10d,0.0020520623183290193,0.014970007590840995
607,7-Year_pct_change_1d,0.0020446301663343174,0.013860154140489689
995,2s5s Spread_zscore_5d,0.00204346970415068,0.0
740,20-Year_vol_21d,0.002041444245482454,0.0
886,5s30s Spread_vol_5d,0.0020260933548047286,0.0
1064,10s30s Spread_vol_21d,0.0020162587682510673,0.0
725,20-Year_zscore_5d,0.002014543810020532,0.0
455,2-Year_zscore_5d,0.0020085757848769077,0.0036828390977301506
885,5s30s Spread_dist_ma_5d,0.0020055379539948375,0.0
775,30-Year_pct_change_5d,0.0020037131987211596,0.011707848113016839
941,3m10y Spread_zscore_5d,0.0019708261141018115,0.0
617,7-Year_zscore_5d,0.0019385477474208584,0.0
1057,10s30s Spread_zscore_10d,0.0019340097534175393,0.003328135009686317
778,30-Year_vol_5d,0.0019309664433130173,0.00804222835346402
835,2s10s Spread_rsi_5d,0.0019228593632083476,0.004283972934910452
849,2s10s Spread_zscore_21d,0.001887799758040288,0.006333959669538647
840,2s10s Spread_vol_10d,0.0018708662740772744,0.0
889,5s30s Spread_rsi_5d,0.0018677065108378644,0.0
779,30-Year_zscore_5d,0.001862594382628857,0.0017682531709675153
1056,10s30s Spread_vol_10d,0.0018599736153067585,0.0
791,30-Year_pct_change_21d,0.0018594098424271188,0.006327757759670982
337,6-Month_pct_change_1d,0.0018520821757464102,0.012979801588756779
678,10-Year_vol_10d,0.001847693846758834,0.0
616,7-Year_vol_5d,0.0018476231346536006,0.01206212874161694
931,3m10y Spread_pct_change_1d,0.0018268679896941815,0.0
724,20-Year_vol_5d,0.0018260120862304574,0.0
831,2s10s Spread_dist_ma_5d,0.001821319970357678,0.011196688996995219
516,3-Year_vol_10d,0.001821282077887452,0.0
463,2-Year_zscore_10d,0.0018136211205947684,0.0
509,3-Year_zscore_5d,0.0018102507619582556,0.0
787,30-Year_zscore_10d,0.001808822637674275,0.0
1039,10s30s Spread_pct_change_1d,0.001801116012898389,0.0
829,2s10s Spread_pct_change_5d,0.001798339906140829,0.0
301,3-Month_zscore_10d,0.0017961136997652375,0.0028263865017512657
1002,2s5s Spread_vol_10d,0.0017895877887148645,0.00785688628274972
999,2s5s Spread_pct_change_10d,0.0017887899770315996,0.0
940,3m10y Spread_vol_5d,0.0017794304780944078,0.008871729818977325
948,3m10y Spread_vol_10d,0.0017761952681827856,0.005741552389739946
291,3-Month_dist_ma_5d,0.0017748273186271402,0.0
834,2s10s Spread_momentum_5d,0.0017622342265400542,0.0
453,2-Year_dist_ma_5d,0.0017615541167508733,0.005116571239159651
1018,2s5s Spread_vol_63d,0.00175983697931795,0.0
902,5s30s Spread_vol_21d,0.0017582020845378537,0.017310467384898276
993,2s5s Spread_dist_ma_5d,0.0017574672860435291,0.0
563,5-Year_zscore_5d,0.0017544823855937385,0.0
309,3-Month_zscore_21d,0.001750271039148467,0.0
888,5s30s Spread_momentum_5d,0.0017484510469709242,0.0
671,10-Year_zscore_5d,0.0017471395417604548,0.0
893,5s30s Spread_dist_ma_10d,0.0017421790715947583,0.005193710467622514
670,10-Year_vol_5d,0.0017329544641800467,0.014862850632177071
943,3m10y Spread_rsi_5d,0.0017287349290544011,0.0005922153858191059
471,2-Year_zscore_21d,0.0017275184998821209,0.005964604243864136
877,5s30s Spread_pct_change_1d,0.0017181353239450988,0.0
905,5s30s Spread_rsi_21d,0.0017170870691970777,0.0067741242043428684
371,6-Month_zscore_63d,0.0017071436546998158,0.0
847,2s10s Spread_dist_ma_21d,0.001704432862611135,0.0
939,3m10y Spread_dist_ma_5d,0.0016896135580822594,0.003570472835235705
