,feature,importance,mutual_info
733,2s5s Spread_zscore_10d,0.0034431747548059398,0.009069860995381651
725,2s5s Spread_zscore_5d,0.0032361877684118326,0.002682033457962696
563,2s10s Spread_zscore_5d,0.003222962493831869,0.0
731,2s5s Spread_dist_ma_10d,0.003054600374375892,0.01402880621369107
175,2-Year_pct_change_1d,0.0029140669086333702,0.012848342085080455
741,2s5s Spread_zscore_21d,0.0028612067310917247,0.00041385876492183726
715,2s5s Spread_pct_change_1d,0.002828503060661678,0.0027284760132422203
401,10-Year_zscore_5d,0.002478619397307258,0.0
293,5-Year_zscore_5d,0.002468224120178307,0.009909375788788033
193,2-Year_zscore_10d,0.00242903318178862,0.0
671,3m10y Spread_zscore_5d,0.002383028551072597,8.97187103339192e-05
31,3-Month_zscore_10d,0.0023068122716060403,0.0
723,2s5s Spread_dist_ma_5d,0.0022940618151840162,0.013571845616284994
571,2s10s Spread_zscore_10d,0.0022566357524369213,0.004771741161825105
455,20-Year_zscore_5d,0.0022424842706655766,0.004262189106665648
787,10s30s Spread_zscore_10d,0.002200821723318751,0.0
516,30-Year_vol_10d,0.0021886874917142036,0.0
101,6-Month_zscore_63d,0.002176109360810306,0.005240745607792308
185,2-Year_zscore_5d,0.00216578394338121,0.0
13,3-Month_pct_change_1d,0.002165141597231411,0.0
678,3m10y Spread_vol_10d,0.002157124704625315,0.0
670,3m10y Spread_vol_5d,0.002142631991168465,0.0021461265697606535
121,1-Year_pct_change_1d,0.002137380859502056,0.00224010830393806
795,10s30s Spread_zscore_21d,0.0021119301550424335,0.0029380193421437717
617,5s30s Spread_zscore_5d,0.002104401165873954,0.005470002037400334
721,2s5s Spread_pct_change_5d,0.0020949837815869825,0.0036653920030482734
579,2s10s Spread_zscore_21d,0.002081095448645696,0.015297054926534104
39,3-Month_zscore_21d,0.002075570586411332,0.0
337,7-Year_pct_change_1d,0.0020744996965430104,0.004139365933686134
769,10s30s Spread_pct_change_1d,0.002074034844399583,0.0
561,2s10s Spread_dist_ma_5d,0.0020692335808611888,0.0
73,6-Month_pct_change_5d,0.002051704155326677,0.0
416,10-Year_vol_21d,0.0020406787115315856,0.0
23,3-Month_zscore_5d,0.0020377754850314225,0.0
779,10s30s Spread_zscore_5d,0.002027102365571109,0.016398872393589503
573,2s10s Spread_rsi_10d,0.002021579737359299,0.005742506902244093
155,1-Year_zscore_63d,0.002019722151895363,0.0049140923375647905
775,10s30s Spread_pct_change_5d,0.0020173612688948596,0.004127881697191915
201,2-Year_zscore_21d,0.0020143464997591618,0.00020463608990461957
295,5-Year_rsi_5d,0.002008594060810569,0.0
624,5s30s Spread_vol_10d,0.001986532093486317,0.0
679,3m10y Spread_zscore_10d,0.0019807076559873503,0.0
525,30-Year_zscore_21d,0.001972488241611564,0.0261587160083967
462,20-Year_vol_10d,0.0019678302001500518,0.0
127,1-Year_pct_change_5d,0.001966244714041878,0.0035916178429205026
411,10-Year_rsi_10d,0.001963141386933937,0.0
565,2s10s Spread_rsi_5d,0.0019600485822008676,0.002380480932678397
747,2s5s Spread_dist_ma_63d,0.0019578371067385746,0.010073626008288095
661,3m10y Spread_pct_change_1d,0.001954522961250378,0.0
523,30-Year_dist_ma_21d,0.0019515879558126658,0.008477025935384352
777,10s30s Spread_dist_ma_5d,0.0019501448050431099,0.002932388797706853
578,2s10s Spread_vol_21d,0.001949379583187995,0.0
570,2s10s Spread_vol_10d,0.001942937035631954,0.0
309,5-Year_zscore_21d,0.0019424377907016459,0.0
255,3-Year_zscore_21d,0.0019407075039924331,0.0
77,6-Month_zscore_5d,0.001939845911804133,0.0026262132588783516
781,10s30s Spread_rsi_5d,0.0019391861661451615,0.0
632,5s30s Spread_vol_21d,0.001937104613962298,0.0
229,3-Year_pct_change_1d,0.0019358789570352555,0.0028301620213506684
47,3-Month_zscore_63d,0.0019286927428278113,0.0
247,3-Year_zscore_10d,0.0019237121503100714,0.0010785959815906576
718,2s5s Spread_momentum_1d,0.0019227655978472323,0.0
181,2-Year_pct_change_5d,0.0019220701497253212,0.0027790834420255983
509,30-Year_zscore_5d,0.001905875599037731,0.0
93,6-Month_zscore_21d,0.001890796665080914,0.002292076612180116
729,2s5s Spread_pct_change_10d,0.0018825884528057275,0.007118668436627118
757,2s5s Spread_zscore_126d,0.0018822025971673444,0.0
803,10s30s Spread_zscore_63d,0.0018809945633053065,0.0
469,20-Year_dist_ma_21d,0.0018742883677863764,0.007810198889341313
147,1-Year_zscore_21d,0.0018720638244902087,0.002900300652531662
85,6-Month_zscore_10d,0.001871550848342777,0.018993291473329732
615,5s30s Spread_dist_ma_5d,0.0018634266620029879,0.010746918992769583
786,10s30s Spread_vol_10d,0.0018617996015952941,0.0
794,10s30s Spread_vol_21d,0.0018590553408083476,0.0
131,1-Year_zscore_5d,0.001847735878752714,0.011574224189824012
621,5s30s Spread_pct_change_10d,0.001847008133605742,0.0070564247033229055
67,6-Month_pct_change_1d,0.0018440227784530636,0.0
607,5s30s Spread_pct_change_1d,0.001842577476943729,0.0
589,2s10s Spread_rsi_63d,0.001842566402189795,0.0
735,2s5s Spread_rsi_10d,0.0018396052802751675,0.009486224469166027
1,day_of_month,0.0018363777797874782,0.0
625,5s30s Spread_zscore_10d,0.0018317486638974978,0.0
283,5-Year_pct_change_1d,0.0018314182636843806,0.0
243,3-Year_pct_change_10d,0.0018178373802154278,0.010160476541318353
21,3-Month_dist_ma_5d,0.001796416258228521,0.0
400,10-Year_vol_5d,0.00179499241952962,0.0
532,30-Year_vol_63d,0.0017897775192210021,0.0005279616344677773
569,2s10s Spread_dist_ma_10d,0.0017896473100528034,0.009577127601773539
