,0
0,3m10y Spread_pct_change_1d
1,3m10y Spread_zscore_126d
2,2s10s Spread_rsi_21d
3,1-Year_zscore_63d
4,10s30s Spread_pct_change_5d
5,2-Year_zscore_10d
6,2s10s Spread_dist_ma_21d
7,10s30s Spread_rsi_63d
8,1-Year_zscore_126d
9,6-Month_zscore_21d
10,5s30s Spread_change_1d
11,10s30s Spread_pct_change_252d
12,2s10s Spread_pct_change_1d
13,3-Year_rsi_5d
14,10s30s Spread_dist_ma_252d
15,3-Year_vol_5d
16,2-Year_vol_21d
17,2s10s Spread_zscore_21d
18,1-Year_vol_10d
19,2-Year_vol_5d
20,6-Month_vol_5d
21,2s5s Spread_zscore_10d
22,10s30s Spread_zscore_126d
23,2-Year_rsi_63d
24,2s5s Spread_change_5d
25,5s30s Spread_vol_252d
26,3-Month_dist_ma_21d
27,2s10s Spread_pct_change_5d
28,2s10s Spread_rsi_5d
29,5s30s Spread_zscore_126d
30,3-Year_pct_change_1d
31,6-Month_rsi_21d
32,10s30s Spread_pct_change_10d
33,5s30s Spread_vol_5d
34,2-Year_vol_10d
35,3m10y Spread_dist_ma_252d
36,2s5s Spread_change_1d
37,3-Month_change_1d
38,2-Year_change_10d
39,3-Month_vol_126d
40,3m10y Spread_vol_126d
41,2s5s Spread_zscore_252d
42,10s30s Spread_dist_ma_63d
43,2s10s Spread_pct_change_10d
44,3m10y Spread_dist_ma_10d
45,5s30s Spread_zscore_21d
46,1-Year_zscore_252d
47,2s10s Spread_vol_126d
48,5s30s Spread_rsi_5d
49,1-Year_pct_change_63d
50,3m10y Spread_dist_ma_5d
51,1-Year_change_10d
52,5-Year_pct_change_10d
53,2s10s Spread_dist_ma_126d
54,20-Year_vol_5d
55,3m10y Spread_vol_21d
56,1-Year_dist_ma_5d
57,5s30s Spread_zscore_63d
58,2s10s Spread_rsi_10d
59,5s30s Spread_rsi_63d
60,2-Year_zscore_252d
61,3-Month_zscore_126d
62,3m10y Spread_change_63d
63,10s30s Spread_zscore_5d
64,2s10s Spread_pct_change_126d
65,1-Year_pct_change_1d
66,6-Month_vol_10d
67,6-Month_rsi_63d
68,1-Year_zscore_10d
69,10s30s Spread_zscore_21d
70,2s10s Spread_pct_change_21d
71,5s30s Spread_dist_ma_126d
72,3-Month_zscore_10d
73,3-Month_pct_change_126d
74,6-Month_dist_ma_10d
75,6-Month_dist_ma_5d
76,3-Month_zscore_63d
77,2s10s Spread_zscore_126d
78,3-Year_pct_change_21d
79,3m10y Spread_vol_63d
80,3m10y Spread_rsi_10d
81,2s5s Spread_change_252d
82,3m10y Spread_zscore_252d
83,20-Year_vol_10d
84,1-Year_rsi_126d
85,2s5s Spread_pct_change_21d
86,3-Month_rsi_10d
87,5-Year_vol_10d
88,10s30s Spread_dist_ma_21d
89,2s5s Spread_vol_10d
90,5-Year_pct_change_21d
91,5s30s Spread_ma_1d
92,2-Year_dist_ma_21d
93,3-Year_rsi_10d
94,2s10s Spread_ma_252d
95,2-Year_pct_change_10d
96,3-Month_change_21d
97,3-Month_pct_change_5d
98,5-Year_rsi_5d
99,2s10s Spread_zscore_252d
100,6-Month_vol_21d
101,5-Year_vol_21d
102,10s30s Spread_change_10d
103,5s30s Spread_rsi_21d
104,10s30s Spread_pct_change_21d
105,1-Year_pct_change_21d
106,10s30s Spread_vol_126d
107,2-Year_rsi_5d
108,2s5s Spread_vol_21d
109,2s10s Spread_vol_252d
110,2-Year_pct_change_21d
111,20-Year_vol_21d
112,5s30s Spread_dist_ma_10d
113,2-Year_zscore_63d
114,2-Year_dist_ma_126d
115,3m10y Spread_pct_change_126d
116,2s5s Spread_change_63d
117,2-Year_change_5d
118,2s5s Spread_dist_ma_21d
119,6-Month_pct_change_1d
120,5s30s Spread_zscore_10d
