,feature,correlation,mutual_info
666,10-Year_change_5d,-0.03362473672227753,0.037743898155412126
868,2s10s Spread_change_252d,0.006027925307938948,0.03754364498096052
984,2s5s Spread_change_1d,-0.08412072114515011,0.03660064364944571
879,5s30s Spread_dist_ma_1d,,0.03586423780774428
105,macro_Nonfarm Payrolls_dist_mean,-0.01912518147867929,0.03513997460905838
444,2-Year_change_1d,0.0647776846254172,0.0306056843942768
264,macro_Business Equipment Production_zscore,-0.006138981325385629,0.02984955642207332
890,5s30s Spread_change_10d,-0.027837964039955376,0.028072164690427392
186,macro_Dollar Index_pct_change,-0.0033011323293301027,0.025964912148799257
34,macro_CPI All Items_dist_mean,0.0045693322956277035,0.025926125293267432
96,macro_CMBS Spread_zscore,-0.028035246210702566,0.025319379256742103
664,10-Year_momentum_1d,-0.009847085143875155,0.02483756079080024
174,macro_Monetary Base_pct_change,-0.001985381144945736,0.024395080868287344
611,7-Year_rsi_1d,-0.007978960587393145,0.02387958681530833
871,2s10s Spread_dist_ma_252d,-0.002169975603143094,0.023294509756158988
502,3-Year_momentum_1d,0.013005932514916602,0.023022483878644806
358,6-Month_change_21d,-0.045261944762652634,0.02294693856928287
953,3m10y Spread_pct_change_21d,-0.008523059820267756,0.022804993271468454
225,macro_Emerging Markets VIX_zscore,0.01297653101155851,0.02271453267652035
636,7-Year_change_63d,-0.033065686338043986,0.022509230684141457
966,3m10y Spread_momentum_63d,-0.00018817002820937826,0.02245326522535951
618,7-Year_momentum_5d,-0.02087737461649013,0.02230260040650034
321,3-Month_pct_change_126d,-0.02861247645634367,0.02219059656545941
541,3-Year_zscore_126d,-0.04265603230488653,0.02184244698218496
334,3-Month_momentum_252d,-0.03480703002246473,0.02169091880794749
714,20-Year_change_1d,-0.01629617089281752,0.02149682604055947
793,30-Year_dist_ma_21d,-0.055480722701714565,0.021479880806143825
64,macro_PPI Final Demand_pct_change,0.035876867578466906,0.021231273799843464
800,30-Year_ma_63d,-0.02627406014650534,0.020412686142976533
346,6-Month_vol_5d,-0.009298472746907416,0.020412603226625414
33,macro_CPI All Items_zscore,0.04638241588615641,0.020300625678865813
74,macro_Aaa Corporate vs 10Y Treasury_level,0.0011940882019777466,0.02026047320050317
620,7-Year_change_10d,-0.04015244757608093,0.020178249868687104
624,7-Year_vol_10d,-0.013606842921285965,0.020119551611841757
155,macro_Wholesale Inventories_pct_change,0.009310889861469683,0.02006031250918916
644,7-Year_change_126d,-0.03693306093867728,0.019691737956281763
680,10-Year_momentum_10d,-0.04820745355148612,0.019660798287242542
885,5s30s Spread_dist_ma_5d,-0.04295704273738034,0.019635353305435643
1050,10s30s Spread_momentum_5d,-0.055296807708351846,0.01944189074602587
1033,2s5s Spread_dist_ma_252d,-0.008406071465121855,0.01934348273818909
726,20-Year_momentum_5d,-0.05095147560541394,0.01927533148057403
817,30-Year_dist_ma_252d,-0.0491519377693642,0.019130542740326106
706,10-Year_change_252d,-0.04878431452914504,0.018944133213537384
824,2s10s Spread_ma_1d,-0.00583976260042283,0.018685048831531326
181,macro_CBOE VIX_level,-0.0006102551417117284,0.01865290216514115
713,10-Year_rsi_252d,-0.046944975352361785,0.01856430733437886
834,2s10s Spread_momentum_5d,-0.09189127597287658,0.018552379820700793
308,3-Month_vol_21d,-0.021848029080814832,0.01850958943285619
1003,2s5s Spread_zscore_10d,-0.09292055879231068,0.018423584278712823
910,5s30s Spread_vol_63d,-0.0020497397330113544,0.018328330736300913
221,macro_NASDAQ Volatility Index_zscore,-0.0016073637112987305,0.018295708686252965
777,30-Year_dist_ma_5d,-0.040958326221663795,0.01824221886198618
390,1-Year_change_1d,0.010550624397748187,0.018221104991929415
232,macro_10Y-3M Treasury Spread_pct_change,0.04223855990082535,0.018192178772713063
340,6-Month_momentum_1d,-0.014640524978639394,0.01818218201464461
704,10-Year_momentum_126d,-0.03416274534604144,0.01805556911357087
1109,2s5s_carry,-0.01736522670187141,0.01786277822800475
1035,2s5s Spread_zscore_252d,-0.01600930814642115,0.01777855623014446
260,macro_Real Retail Sales_zscore,0.023247519698221118,0.01775826362286903
442,1-Year_momentum_252d,-0.0406279059427806,0.01745897345267533
19,macro_Reverse Repo Rate_level,-0.01619421268701613,0.017445971904495927
628,7-Year_change_21d,-0.028044321127757173,0.017394236179265832
670,10-Year_vol_5d,0.016499823894229902,0.01731096749378036
77,macro_Aaa Corporate vs 10Y Treasury_dist_mean,-0.017252014439452335,0.01718919889467152
161,macro_Corporate Profits_dist_mean,0.03351002842622986,0.016888645775191335
815,30-Year_pct_change_252d,-0.04707200596467129,0.01686192616605542
643,7-Year_rsi_63d,-0.03420039470405129,0.0168198919610294
504,3-Year_change_5d,0.002403516163729547,0.01664547547819506
280,macro_Final Products Production_zscore,-0.025579180168325506,0.016589757605665945
677,10-Year_dist_ma_10d,-0.039637305053924356,0.016542437120535602
772,30-Year_momentum_1d,-0.019436938350073266,0.016385510507410217
982,3m10y Spread_momentum_252d,-0.00693805243544967,0.01631491045108291
771,30-Year_dist_ma_1d,,0.016207769257139404
147,macro_Total Capacity Utilization_pct_change,-0.014990632573629762,0.016191944805727942
797,30-Year_rsi_21d,-0.04115620225637399,0.01614167903792829
160,macro_Corporate Profits_zscore,0.04058203660208148,0.015990863096614127
216,macro_DJIA Volatility Index_pct_change,0.0006389902735983168,0.01593222122668525
1011,2s5s Spread_zscore_21d,-0.08431457110116981,0.015901215350623943
795,30-Year_zscore_21d,-0.047279451749069036,0.015836700190986264
774,30-Year_change_5d,-0.05284169536332793,0.01581447447001949
872,2s10s Spread_vol_252d,-0.023373845939314283,0.01576134207800628
952,3m10y Spread_change_21d,-0.011648127394918417,0.01568317250871054
725,20-Year_zscore_5d,-0.03562138725355191,0.01567772831020875
623,7-Year_dist_ma_10d,-0.027771199582053086,0.01565918152378476
1022,2s5s Spread_change_126d,-0.008993606305822034,0.01511256316934162
989,2s5s Spread_rsi_1d,-0.06787733885130695,0.01493108102179086
94,macro_CMBS Spread_level,-0.003219981524044155,0.014913901971422838
974,3m10y Spread_momentum_126d,0.005694081623328155,0.014654286533643202
612,7-Year_change_5d,-0.02087737461649013,0.014472987034215734
1051,10s30s Spread_rsi_5d,-0.04974835388059081,0.01435724153315654
635,7-Year_rsi_21d,-0.030296644056878125,0.014349791471633289
887,5s30s Spread_zscore_5d,-0.02176672678752401,0.014346448810710122
985,2s5s Spread_pct_change_1d,-0.05601112016528534,0.014241643522388436
121,macro_Consumer Sentiment_dist_mean,0.01994125231414994,0.014144657634975744
253,macro_Consumer Confidence_dist_mean,0.010761577113990747,0.014058486485391875
712,10-Year_momentum_252d,-0.04878431452914504,0.014057640241167846
61,macro_10Y TIPS Rate_zscore,-0.01935100933983711,0.014006867293066882
464,2-Year_momentum_10d,0.004784580988450252,0.013881578973168551
320,3-Month_change_126d,-0.03241050321002136,0.013863846174222871
323,3-Month_dist_ma_126d,-0.041155894642497484,0.013846686593568691
98,macro_Unemployment Rate_level,0.01772400581254321,0.013837230327443883
593,5-Year_dist_ma_126d,-0.04164547464698756,0.013665870011590364
766,20-Year_momentum_252d,-0.047106005967927404,0.01351765514673886
702,10-Year_vol_126d,-0.01568504367166658,0.013493796673286873
853,2s10s Spread_pct_change_63d,-0.020694456614336536,0.013457319916728494
639,7-Year_dist_ma_63d,-0.038087736022079544,0.013419062276258664
863,2s10s Spread_dist_ma_126d,-0.01270726847464156,0.013416122405637054
748,20-Year_vol_63d,0.010581892661477648,0.01331105048618042
408,1-Year_vol_10d,-0.011395928759667336,0.01328927712743777
673,10-Year_rsi_5d,-0.03171691683127982,0.013270075410088289
462,2-Year_vol_10d,-0.018028631153176548,0.01324133387451809
395,1-Year_rsi_1d,-0.013641520388814263,0.013227662679865304
262,macro_Business Equipment Production_level,-0.019981522722568493,0.013215450746871582
396,1-Year_change_5d,0.009262911985132405,0.013197764833263292
562,5-Year_vol_5d,-0.0060455814443708756,0.012954835409956011
529,3-Year_pct_change_63d,-0.031744790562390754,0.012812857163816638
513,3-Year_pct_change_10d,-0.023229223175430653,0.012748479898220921
878,5s30s Spread_ma_1d,0.013611637609335989,0.012714923740132278
1014,2s5s Spread_change_63d,-0.028055747162844157,0.012713052744875775
1090,10s30s Spread_momentum_252d,0.023538747899065966,0.012703555614622886
891,5s30s Spread_pct_change_10d,-0.031787309168597386,0.012678708163114116
993,2s5s Spread_dist_ma_5d,-0.08799908972703151,0.012643817920620748
965,3m10y Spread_zscore_63d,-0.01194932717403226,0.012330159470411495
845,2s10s Spread_pct_change_21d,-0.02459839797300534,0.012325619057876658
1118,3m10y_level,-0.011607865338903666,0.012301614464043986
184,macro_CBOE VIX_dist_mean,-0.0023798243706699075,0.012233711386657298
768,30-Year_change_1d,-0.019436938350073266,0.012211333957845127
649,7-Year_zscore_126d,-0.03978875155564757,0.012168349188996785
35,macro_Core CPI_level,0.0010465011224461034,0.012124870968068358
488,2-Year_momentum_126d,-0.04048784139285035,0.012076283079651695
739,20-Year_dist_ma_21d,-0.04903359574293672,0.012034979875739538
