,0
0,10s30s Spread_dist_ma_126d
1,2s5s Spread_change_10d
2,2-Year_zscore_63d
3,10s30s Spread_pct_change_126d
4,2-Year_zscore_5d
5,3m10y Spread_pct_change_21d
6,5s30s Spread_change_1d
7,2s10s Spread_zscore_126d
8,5s30s Spread_vol_63d
9,6-Month_dist_ma_5d
10,5s30s Spread_dist_ma_126d
11,10s30s Spread_vol_5d
12,3-Month_vol_5d
13,2s5s Spread_vol_126d
14,3-Year_zscore_126d
15,5s30s Spread_zscore_5d
16,2s10s Spread_change_5d
17,3-Year_rsi_10d
18,2s5s Spread_zscore_10d
19,3-Month_pct_change_10d
20,5s30s Spread_dist_ma_63d
21,3-Month_zscore_21d
22,week_of_year
23,5s30s Spread_pct_change_1d
24,5-Year_vol_5d
25,10s30s Spread_rsi_10d
26,5-Year_vol_10d
27,2s10s Spread_rsi_21d
28,5-Year_pct_change_21d
29,5s30s Spread_pct_change_10d
30,1-Year_dist_ma_21d
31,10s30s Spread_dist_ma_252d
32,1-Year_rsi_63d
33,5s30s Spread_change_63d
34,1-Year_zscore_5d
35,2s5s Spread_zscore_126d
36,10s30s Spread_vol_21d
37,5s30s Spread_dist_ma_10d
38,2s5s Spread_pct_change_10d
39,3m10y Spread_zscore_63d
40,6-Month_pct_change_1d
41,5s30s Spread_pct_change_63d
42,5s30s Spread_vol_10d
43,5-Year_zscore_10d
44,3-Month_zscore_10d
45,1-Year_pct_change_5d
46,3-Month_vol_10d
47,2-Year_rsi_21d
48,1-Year_zscore_21d
49,1-Year_vol_5d
50,5s30s Spread_pct_change_5d
51,2s5s Spread_rsi_21d
52,is_day_before_holiday
53,3m10y Spread_pct_change_10d
54,1-Year_dist_ma_10d
55,2-Year_zscore_126d
56,3m10y Spread_rsi_21d
57,2s5s Spread_dist_ma_5d
58,2-Year_zscore_21d
59,3-Year_pct_change_63d
60,day_of_month
61,1-Year_zscore_126d
62,5s30s Spread_change_21d
63,10s30s Spread_dist_ma_21d
64,1-Year_pct_change_1d
65,5s30s Spread_change_252d
66,2-Year_vol_21d
67,6-Month_zscore_63d
68,5-Year_zscore_5d
69,5-Year_pct_change_10d
70,yield_pc3_curvature
71,3-Month_zscore_252d
72,10s30s Spread_change_10d
73,3-Year_pct_change_10d
74,2-Year_rsi_10d
75,2s10s Spread_dist_ma_5d
76,10s30s Spread_dist_ma_10d
77,3-Year_rsi_5d
78,5-Year_change_1d
79,3-Year_zscore_5d
80,2s5s Spread_vol_21d
81,3-Month_rsi_63d
82,5s30s Spread_change_10d
83,6-Month_zscore_10d
84,3-Year_pct_change_21d
85,2-Year_dist_ma_5d
86,3-Month_pct_change_1d
87,2s10s Spread_pct_change_63d
88,3-Month_dist_ma_21d
89,3-Month_zscore_63d
90,1-Year_vol_10d
91,1-Year_zscore_10d
92,10s30s Spread_zscore_126d
93,6-Month_zscore_21d
94,10s30s Spread_zscore_252d
95,5-Year_pct_change_5d
96,2s10s Spread_vol_5d
97,5-Year_rsi_10d
98,10s30s Spread_zscore_63d
99,2s10s Spread_zscore_10d
100,2s10s Spread_pct_change_1d
101,3m10y Spread_zscore_10d
102,5s30s Spread_change_5d
103,6-Month_zscore_126d
104,2-Year_pct_change_5d
105,3m10y Spread_change_5d
106,5s30s Spread_pct_change_126d
107,2-Year_zscore_10d
108,3m10y Spread_pct_change_1d
109,10s30s Spread_dist_ma_5d
110,2s5s Spread_vol_10d
111,2-Year_change_5d
112,3m10y Spread_pct_change_5d
113,2s5s Spread_zscore_5d
114,10s30s Spread_pct_change_1d
115,2-Year_pct_change_1d
116,5s30s Spread_pct_change_21d
117,5s30s Spread_zscore_126d
118,6-Month_zscore_5d
119,3m10y Spread_change_10d
120,2-Year_pct_change_10d
121,3-Year_pct_change_5d
122,2s5s Spread_pct_change_1d
123,3m10y Spread_dist_ma_63d
124,3-Year_zscore_21d
125,3m10y Spread_zscore_5d
126,5s30s Spread_vol_252d
127,3-Month_dist_ma_10d
128,2s10s Spread_rsi_5d
129,2s5s Spread_vol_5d
130,10s30s Spread_vol_126d
131,10s30s Spread_zscore_5d
132,2-Year_pct_change_21d
133,10s30s Spread_dist_ma_63d
134,2s10s Spread_change_1d
135,2s5s Spread_dist_ma_10d
136,3m10y Spread_dist_ma_5d
137,3m10y Spread_zscore_21d
138,6-Month_vol_21d
139,2s10s Spread_dist_ma_21d
140,2s10s Spread_vol_63d
141,3m10y Spread_vol_21d
142,10s30s Spread_change_63d
143,5s30s Spread_zscore_63d
144,10s30s Spread_pct_change_10d
145,1-Year_rsi_5d
146,6-Month_pct_change_10d
